Registo,Valor,Estado
394,N/A,TIMEOUT/NÃO_DISPONÍVEL
395,N/A,TIMEOUT/NÃO_DISPONÍVEL
396,N/A,TIMEOUT/NÃO_DISPONÍVEL
397,N/A,TIMEOUT/NÃO_DISPONÍVEL
398,N/A,TIMEOUT/NÃO_DISPONÍVEL
399,N/A,TIMEOUT/NÃO_DISPONÍVEL
400,N/A,TIMEOUT/NÃO_DISPONÍVEL
401,N/A,TIMEOUT/NÃO_DISPONÍVEL
402,N/A,TIMEOUT/NÃO_DISPONÍVEL
403,N/A,TIMEOUT/NÃO_DISPONÍVEL
404,N/A,TIMEOUT/NÃO_DISPONÍVEL
405,N/A,TIMEOUT/NÃO_DISPONÍVEL
406,N/A,TIMEOUT/NÃO_DISPONÍVEL
407,N/A,TIMEOUT/NÃO_DISPONÍVEL
408,N/A,TIMEOUT/NÃO_DISPONÍVEL
409,N/A,TIMEOUT/NÃO_DISPONÍVEL
410,N/A,TIMEOUT/NÃO_DISPONÍVEL
411,N/A,TIMEOUT/NÃO_DISPONÍVEL
412,N/A,TIMEOUT/NÃO_DISPONÍVEL
413,N/A,TIMEOUT/NÃO_DISPONÍVEL
414,N/A,TIMEOUT/NÃO_DISPONÍVEL
415,N/A,TIMEOUT/NÃO_DISPONÍVEL
416,N/A,TIMEOUT/NÃO_DISPONÍVEL
417,N/A,TIMEOUT/NÃO_DISPONÍVEL
418,N/A,TIMEOUT/NÃO_DISPONÍVEL
419,N/A,TIMEOUT/NÃO_DISPONÍVEL
420,N/A,TIMEOUT/NÃO_DISPONÍVEL
421,N/A,TIMEOUT/NÃO_DISPONÍVEL
422,N/A,TIMEOUT/NÃO_DISPONÍVEL
423,N/A,TIMEOUT/NÃO_DISPONÍVEL
424,N/A,TIMEOUT/NÃO_DISPONÍVEL
425,N/A,TIMEOUT/NÃO_DISPONÍVEL
426,N/A,TIMEOUT/NÃO_DISPONÍVEL
427,N/A,TIMEOUT/NÃO_DISPONÍVEL
428,N/A,TIMEOUT/NÃO_DISPONÍVEL
429,N/A,TIMEOUT/NÃO_DISPONÍVEL
430,N/A,TIMEOUT/NÃO_DISPONÍVEL
431,N/A,TIMEOUT/NÃO_DISPONÍVEL
432,N/A,TIMEOUT/NÃO_DISPONÍVEL
433,N/A,TIMEOUT/NÃO_DISPONÍVEL
434,N/A,TIMEOUT/NÃO_DISPONÍVEL
435,N/A,TIMEOUT/NÃO_DISPONÍVEL
436,N/A,TIMEOUT/NÃO_DISPONÍVEL
