OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.4.23.3.1.2.22,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.23,Integer,4247,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.24,Integer,6094,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.25,Integer,6046,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.26,Integer,6017,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.27,Integer,2749,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.28,Integer,366,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.29,Integer,6218,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.30,Integer,6201,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.31,Integer,6193,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.32,Integer,6143,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.33,Integer,30,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.34,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.35,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.36,Integer,2800,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.37,Integer,4686,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.38,Integer,6141,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.39,Integer,6236,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.40,Integer,557,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.41,Integer,2364,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.42,Integer,6227,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.43,Integer,6190,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.44,Integer,6148,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.45,Integer,4344,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.47,Integer,3133,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.48,Integer,6183,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.49,Integer,6146,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.50,Integer,6107,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.51,Integer,3403,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.4.0,Integer,52,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.1,Integer,95,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.2,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.3,Integer,95,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.4,Integer,95,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.5,Integer,102,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.6,Integer,104,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.7,Integer,97,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.8,Integer,96,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.9,Integer,100,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.10,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.11,Integer,108,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.12,Integer,95,
